Element1,Element2,Log-ratio variation,pair
Li,LREE,0.002248290221137349,Li_LREE
Sc,LREE,0.0033191572564629686,LREE_Sc
Mg,Sr,0.004176089404405642,Mg_Sr
Li,Sc,0.004447223044759421,Li_Sc
Mg,Ga,0.005207195239837148,Ga_Mg
Ga,Sr,0.005683143344530232,Ga_Sr
Sr,LREE,0.0057665104362061735,LREE_Sr
V,Sc,0.00593664344830377,Sc_V
LREE,HREE,0.006394070674468801,HREE_LREE
Mg,V,0.00687374355830566,Mg_V
Sr,Sc,0.007126748489748189,Sc_Sr
Li,Sr,0.007540040792202295,Li_Sr
P,Mg,0.007891934971573322,Mg_P
B,Sb,0.008493544333056846,B_Sb
Mg,Sc,0.008903707656643292,Mg_Sc
V,LREE,0.008916980003656516,LREE_V
V,Sr,0.009246643999544453,Sr_V
P,Ga,0.009599686932240422,Ga_P
Ga,V,0.009729452064363544,Ga_V
Li,Ga,0.00987095862911816,Ga_Li
Ga,Sc,0.010303622900627852,Ga_Sc
Ga,LREE,0.010447218204328985,Ga_LREE
Mg,LREE,0.01062028190274637,LREE_Mg
Mg,Li,0.010749417554662893,Li_Mg
P,V,0.011093251650841837,P_V
Sc,HREE,0.011193783710992014,HREE_Sc
Mg,Sb,0.01120578532470788,Mg_Sb
Zn,Mg,0.01141733296820345,Mg_Zn
Sr,HREE,0.011711191709737234,HREE_Sr
Li,V,0.011879245711032315,Li_V
Mg,B,0.012397063901512944,B_Mg
Li,HREE,0.012747379673381555,HREE_Li
P,Sr,0.013806644506967152,P_Sr
P,Sc,0.013961954928695505,P_Sc
Zn,Sr,0.015144447166292756,Sr_Zn
P,Li,0.016083448408264686,Li_P
Zn,B,0.016156427575937164,B_Zn
V,HREE,0.016567737246168297,HREE_V
P,LREE,0.016890309387801783,LREE_P
Zn,Li,0.017154113791109808,Li_Zn
