Element;Minimum;Mean;Median;SD;Skewness;Maximum
B;80;117.57;116;20.23;1.34;185
Be;0.2;0.64;0.6;0.27;1.59;1.6
Bi;5.29;8.03;7.64;1.91;0.34;11.85
Co;16;24.39;24.25;4.11;-0.04;33.1
Cu;241.49;357.79;350.35;69.78;1.09;567.39
Fe;9900;13640;13300;2367.25;0.5;18600
Ga;5.5;6.46;6.6;0.63;0.03;7.7
Ge;0.01;0.12;0.1;0.07;0.69;0.3
In;0.06;0.12;0.11;0.03;0.83;0.18
Li;9.7;12.11;11.65;1.72;0.51;15.7
Mg;8300;10200;10300;856.62;-0.21;11800
Nb;0.02;0.04;0.02;0.03;2.01;0.15
P;3950;4720.67;4700;449.77;0.99;5940
Pd;0.01;0.04;0.03;0.04;0.85;0.12
Pt;0.03;0.04;0.04;0.01;2.07;0.07
Sb;111.2;144.05;143.81;20.88;1.78;224.17
Sc;1.7;1.97;1.9;0.23;0.51;2.4
Sr;245.7;301.29;298.65;37.6;0.22;379.3
Tl;0.02;0.04;0.04;0.02;2.02;0.09
V;22;25.8;26;2.2;0.11;30
W;1.8;2.88;2.65;1.03;2.19;6.8
Zn;3154.1;4255.17;4093.2;681.91;0.26;5711.4
HREE;2.98;3.93;3.9;0.67;0.06;4.95
LREE;29.11;36.43;34.92;5.32;0.51;48.28
