Element;B;Be;Bi;Co;Cu;Fe;Ga;Ge;In;Li;Mg;Nb;P;Pd;Pt;Sb;Sc;Sr;Tl;V;W;Zn;HREE;LREE
Measurment unit;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
Sample number/LOD;1;0.1;0.02;0.1;0.01;0.01;0.1;0.1;0.02;0.1;0.01;0.02;0.001;0.01;0.01;0.02;0.1;0.5;0.02;1;0.1;0.1;;
1;185;1.6;10.39;23.6;300.37;9900;6.6;0.2;0.18;14.3;11800;0.02;5940;<0.010;0.042;224.17;2.3;351.6;0.09;27;2.6;5159;4.45;42.46
2;160;0.8;8.96;25.9;483.24;17600;6.6;0.1;0.14;12.7;10300;0.02;4730;0.016;0.039;157.36;2;286.8;0.04;27;3.1;4903.5;3.65;36.82
3;128;0.6;9.22;21;329.01;10000;6.5;0.1;0.17;11.9;11000;0.02;5430;<0.010;0.031;168.82;1.8;315.1;0.09;23;1.8;4962;3.34;34.06
4;122;0.8;7.52;25.3;404.81;13400;6.9;0.1;0.11;11.8;10500;0.04;4990;<0.010;0.033;138;1.9;307.9;0.04;26;2.7;4141.2;3.48;35.47
5;108;0.6;5.74;28.1;369.44;10800;6.3;<0.1;0.12;11.2;10700;0.02;4950;0.021;0.036;136.18;1.7;286.7;0.04;24;5;3925.2;3.11;31.66
6;128;0.6;5.77;31.5;567.39;18600;6.8;0.1;0.1;11.6;10300;0.03;4670;0.032;0.036;136.87;1.8;313.5;0.04;25;3.2;3903.5;3.32;33.84
7;118;0.6;6.18;23.4;430.93;12700;7.3;0.1;0.12;10.6;10600;0.05;4840;0.014;0.038;164.19;1.7;304;0.04;23;2;3622.8;3.77;32.14
8;104;0.6;5.29;22.7;347.77;12400;6;<0.1;0.09;9.7;9200;0.1;4480;<0.010;0.031;138.74;1.7;264.6;0.04;23;2.8;3156.7;2.98;29.73
9;135;0.5;6.9;24.8;417.76;14500;6.9;0.1;0.1;10.2;10300;0.05;4710;0.011;0.038;163.16;1.7;293.3;0.03;24;2;4148.1;4.03;32.9
